row_id,pheno0,pheno1,pheno3,pheno4,pheno5,pheno6,pheno8,pheno9,pheno11,pheno12,pheno13,pheno14,pheno15,pheno16,pheno17,pheno18,pheno19,pheno20,pheno21,pheno22,pheno23,pheno24,pheno25,pheno27,pheno28,pheno29,pheno30,pheno31,pheno32,pheno33,pheno34,pheno35,pheno36,pheno37,pheno38,pheno39,pheno43,pheno44,pheno45,pheno46,pheno48,pheno49,pheno50,pheno51,pheno52,pheno53,pheno54,pheno55,pheno57,pheno58,pheno59,pheno60,pheno61,pheno62,pheno63,pheno64,pheno65,pheno66,pheno67,pheno68,pheno69,pheno70,pheno71,pheno72,pheno73,pheno74,pheno75,pheno76,pheno77,pheno78,pheno79,pheno80,pheno81,pheno82,pheno83,pheno84,pheno85,pheno86,pheno87,pheno88,pheno90,pheno91,pheno92,pheno93,pheno94,pheno95,pheno96,pheno97,pheno98,pheno99
site-2_prs_pheno10,-0.20454,0.03404,0.12461,0.05668,0.07836,0.03373,0.02879,-0.08539,0.30328,-0.17344,0.22141,0.18109,0.08515,0.09336,0.17911,0.09774,-0.4262,-0.05854,-0.1515,-0.02085,-0.01212,0.00566,0.10958,0.14483,0.03559,-0.03036,-0.09953,0.18342,0.02534,-0.12914,-0.01023,0.19543,-0.03195,0.10951,-0.10264,0.02577,-0.08853,0.10696,0.0746,0.04064,0.03019,0.18959,-0.07305,-0.1893,-0.05272,0.13118,0.00018,0.14218,0.04296,0.10127,-0.02051,0.07274,0.20733,0.21162,0.07366,0.03746,0.10373,-0.02174,0.00347,-0.0232,-0.03728,-0.0955,-0.19081,0.05556,-0.10446,-0.07163,-0.03017,-0.09281,0.04864,-0.08821,-0.0205,-0.00822,0.01968,-0.09847,0.09553,0.12338,-0.06665,0.03722,0.00638,0.14316,-0.33409,-0.04266,0.01374,-0.04122,-0.01064,-0.26516,0.01043,0.08772,0.10002,-0.07813
site-2_prs_pheno11,-0.0227,-0.11497,-0.0619,-0.00632,-0.07318,0.0233,0.05129,-0.14602,1.37545,0.03645,-0.12114,-0.22696,0.06401,0.1038,0.10708,-0.10174,-0.19131,0.32228,0.03214,-0.23953,0.06306,-0.0287,0.03079,0.35489,0.0064,0.11796,-0.19257,-0.0096,0.06716,-0.01996,-0.05558,0.21443,0.00476,-0.00581,-0.12037,0.04411,-0.02941,-0.06307,0.01533,-0.00125,-0.02093,-0.10379,0.06218,0.11526,0.09251,0.07336,-0.1106,0.03858,0.04066,0.01623,-0.26685,-0.21177,-0.18187,0.0723,-0.04026,-0.08882,0.012,-0.1156,0.10348,0.13913,-0.10623,-0.0631,-0.10953,-0.1556,-0.20096,-0.06584,-0.05463,0.09747,0.04886,-0.11417,-0.14005,-0.27412,-0.13363,-0.13669,0.16563,-0.0658,0.10238,0.11131,0.00341,0.07248,-0.25207,0.13659,-0.0075,0.02061,0.04576,0.05651,0.00917,-0.00747,0.0312,0.05816
site-2_prs_pheno12,-0.19867,-0.14804,0.01815,0.0131,0.12708,0.02331,-0.04431,-0.10487,-0.14458,1.27132,0.09537,0.18201,0.04488,0.05231,-0.04238,0.11965,-0.00592,-0.22963,-0.16045,0.17836,0.02501,0.03007,-0.01758,0.02003,0.02501,0.03411,-0.31645,-0.0626,0.18393,0.04889,-0.08569,-0.0947,-0.0385,0.11022,0.03098,0.10465,0.08917,0.04633,0.15547,-0.08119,0.03879,0.08518,-0.03682,-0.25894,-0.13944,0.02368,-0.03702,0.04683,0.02913,0.00738,-0.03138,0.11904,0.06392,0.09336,0.01347,-0.10023,-0.02194,0.21642,0.05207,0.03013,0.03536,-0.05547,-0.00544,-0.01972,-0.23184,-0.02736,0.0908,0.14244,-0.0922,-0.16077,0.0895,-0.25289,0.08256,0.17554,-0.03003,0.03535,-0.07738,0.11211,0.04099,0.17754,-0.08386,-0.18946,0.06157,0.15549,0.12031,-0.02377,0.02056,0.12098,-0.02592,0.08994
site-2_prs_pheno13,-0.09939,0.19762,0.06948,-0.09224,0.06033,-0.03526,0.03047,-0.06357,0.03008,-0.01622,1.21333,0.18069,0.04606,0.1047,0.0971,0.11774,-0.15138,-0.09374,-0.22367,-0.12337,-0.16462,0.05857,-0.03865,-0.03305,0.04143,-0.02474,0.01215,0.04033,0.004,-0.08066,-0.07094,0.03249,-0.00145,0.07642,-0.11113,-0.07269,0.04635,-0.11363,0.09756,0.15496,-0.11691,0.18029,0.03083,-0.11041,-0.01789,-0.02002,0.06131,0.12211,-0.00465,-0.05509,-0.14122,-0.04828,-0.05907,-0.12899,-0.11331,0.01509,0.03204,0.01374,-0.0884,0.02455,0.08668,0.0892,-0.04497,0.06227,-0.1075,-0.07677,-0.124,-0.08367,-0.03014,-0.16984,0.13151,0.20308,-0.09597,-0.13315,0.15178,0.02507,-0.06318,-0.02686,0.05939,0.21566,-0.17245,0.10554,-0.13675,-0.12058,-0.08558,0.08511,-0.10191,0.08412,0.06285,-0.28113
site-2_prs_pheno14,-0.11044,0.03677,-0.00151,0.09614,0.22928,-0.03713,-0.01272,-0.10106,-0.08186,0.05948,0.25394,1.2796,-0.02132,0.07573,0.05989,0.13683,0.07655,-0.08648,0.01697,0.1442,0.00232,0.09941,-0.10702,0.05577,0.08225,0.18255,-0.11642,-0.02591,0.01308,0.02774,-0.02937,-0.01431,0.04508,0.04498,-0.09527,-0.01454,-0.02184,0.14548,0.06785,0.03572,0.14258,0.0817,0.21382,-0.24837,-0.17719,-0.08509,0.03098,0.11302,-0.05544,0.11249,-0.06616,0.33709,0.10745,0.1286,0.02893,-0.08712,-0.00013,-0.03129,0.02322,-0.10239,0.07136,0.19185,0.01974,0.12011,-0.19948,-0.12143,-0.08604,-0.03341,-0.04224,0.06555,-0.11665,-0.24459,0.03113,0.12439,0.05787,0.06115,-0.05537,0.08638,0.05333,0.08659,0.10372,-0.12887,-0.05323,0.38412,0.00692,0.0548,-0.03582,0.00053,0.004,-0.02505
site-2_prs_pheno15,-0.01694,-0.16364,-0.0547,-0.12879,-0.01457,0.02964,-0.06252,0.10125,-0.04644,0.01055,-0.04485,-0.0438,0.76746,-0.03371,-0.08264,-0.03334,0.08443,-0.12723,0.01897,-0.00203,0.02495,0.03815,-0.13453,-0.04495,-0.05039,0.02822,0.46183,0.14167,-0.09683,-0.03698,0.23479,-0.12503,-0.0401,0.12665,-0.02461,0.14455,0.00398,-0.10427,-0.06125,0.04845,-0.00811,0.02573,0.20397,-0.0205,0.04638,-0.00687,-0.20965,-0.08796,-0.08493,-0.18607,0.08264,0.25873,-0.21632,-0.00289,0.11299,-0.13569,0.10124,0.01125,-0.04686,0.03319,0.20858,-0.14278,0.26382,0.1071,0.07701,-0.06717,0.06857,-0.07347,0.06791,0.00381,-0.01003,-0.02716,-0.07645,0.16554,0.00109,0.04525,-0.07165,-0.05017,0.02473,-0.07862,0.23937,-0.09168,-0.11248,-0.21435,0.07961,0.06095,-0.03185,-0.02704,-0.00839,0.05227
site-2_prs_pheno16,-0.2844,-0.05786,-0.03219,-0.0653,0.10404,-0.02484,-0.10036,-0.13027,0.1484,0.24189,0.11042,0.17962,-0.04706,0.74624,0.00798,-0.00143,-0.14507,0.00204,0.02257,-0.00419,0.12016,-0.0309,-0.02661,-0.03731,0.08842,0.06098,-0.50679,-0.05328,-0.04376,-0.06202,-0.2337,-0.03037,-0.08448,-0.12221,-0.12663,-0.04641,-0.05796,-0.06709,0.11476,-0.08582,-0.08376,-0.11926,-0.20821,-0.10912,0.00449,-0.14111,-0.20254,0.14599,-0.02835,0.10656,-0.08405,-0.06685,-0.07336,-0.00025,-0.09585,-0.17429,0.04684,0.0871,-0.16314,0.08416,0.07541,-0.03881,-0.09282,0.01575,-0.07241,-0.1004,-0.11526,0.01042,-0.05189,-0.07663,-0.08504,-0.27882,-0.05735,-0.11585,-0.09948,0.02934,0.11824,-0.00292,-0.02692,0.09421,-0.24136,-0.06166,0.15747,0.23663,0.00124,-0.02041,0.10459,0.02163,-0.00688,0.05138
site-2_prs_pheno17,0.06629,-0.03695,-0.07274,-0.09609,-0.03864,-0.00869,-0.08116,-0.24437,0.28488,0.17406,0.17077,0.11627,-0.01945,0.22572,1.01486,0.03422,-0.03729,0.03949,-0.09396,-0.02962,-0.01614,0.15461,-0.07787,0.12005,0.11975,0.09094,0.1693,-0.03056,-0.10932,-0.10008,-0.19113,0.01708,-0.04879,0.02892,-0.17201,0.17578,-0.12561,-0.12766,0.04737,-0.08966,-0.13517,0.05867,-0.4516,-0.08583,-0.25758,-0.05279,-0.04134,0.04951,-0.14494,0.00522,-0.253,-0.27421,-0.07975,0.09067,-0.0141,0.12557,-0.01137,0.05786,0.13355,0.01902,0.02852,0.30985,-0.04597,-0.08961,0.05704,0.1186,0.05796,0.11988,0.03584,0.02381,-0.00098,-0.00314,0.01391,-0.2922,0.10485,-0.04992,0.02205,0.07626,-0.01123,0.03983,-0.29518,-0.01547,-0.01767,0.03455,0.01161,0.08517,0.02746,-0.08097,0.01204,-0.10542
site-2_prs_pheno18,0.12551,0.05179,0.0713,0.04834,0.17251,0.03202,-0.09675,-0.00103,0.02155,0.00404,0.10386,0.31361,0.00388,0.20271,0.04509,0.74855,-0.04195,-0.37915,-0.10021,0.03388,-0.12676,0.08062,0.01892,0.12843,0.15241,0.05783,-0.08644,-0.1328,-0.03783,-0.03176,0.04242,0.02684,0.02582,0.06781,0.00187,0.07327,0.12778,0.09542,0.14083,-0.03611,-0.02593,0.04852,-0.24044,-0.24627,-0.02857,-0.00716,0.0575,0.10432,0.08769,0.13248,-0.03973,0.39033,0.26576,0.02079,0.0571,-0.03415,-0.00726,0.00675,-0.24264,0.02571,0.03934,0.05646,-0.09718,-0.1079,-0.37212,-0.25552,0.02577,-0.17773,0.02497,-0.05355,-0.25878,0.06833,0.03481,0.15647,0.0956,0.06534,0.00688,0.03334,0.05435,-0.05578,0.00218,-0.02671,-0.06783,-0.01658,0.0008,0.04797,0.02808,-0.01814,-0.19653,0.03246
site-2_prs_pheno19,0.32789,0.074,0.14321,-0.11518,-0.09714,-0.03721,0.036,-0.06936,-0.10655,-0.08494,-0.17837,-0.05945,-0.09446,-0.02906,-0.07437,-0.00393,1.14695,0.08529,0.07507,0.02782,-0.04686,0.09651,-0.16191,-0.108,-0.07526,0.06839,0.22961,-0.03193,0.11313,0.25023,0.0659,-0.08847,0.03728,0.00389,0.16999,0.20345,-0.11005,0.03658,-0.16472,-0.14208,-0.00256,-0.14995,-0.16821,0.16554,-0.09363,-0.10148,0.09523,-0.12284,0.0371,-0.04816,0.24136,0.00134,-0.08003,-0.047,-0.0318,0.11191,-0.02268,-0.01492,0.15125,0.05257,0.16181,-0.2106,-0.0172,-0.01866,0.19114,-0.0194,0.13857,-0.02198,-0.0381,0.14851,0.02976,0.08792,0.25767,0.08195,0.0035,0.04645,-0.0139,-0.08191,0.00549,-0.04414,-0.04596,-0.03736,0.11499,0.11696,-0.0135,0.01487,0.01599,-0.014,0.04437,0.04985
site-2_prs_pheno20,-0.08985,-0.23109,-0.09379,-0.09778,0.01491,-0.12672,0.04067,-0.17412,0.08754,-0.07088,0.04616,0.0383,-0.05856,0.03345,0.00095,0.0623,0.04459,1.30712,0.09373,-0.0692,0.14949,-0.15336,0.05503,0.17732,-0.07494,0.04229,0.14741,0.03093,-0.01061,0.06083,0.00973,-0.03366,0.02617,-0.00663,-0.00921,0.02284,-0.04563,-0.16785,0.06876,0.17987,0.09873,-0.08022,0.04906,-0.12355,0.05649,0.00571,0.17104,0.00902,0.16505,0.11015,-0.05118,-0.20406,0.05442,0.00035,-0.18943,0.07711,-0.00801,0.06783,-0.10599,0.09459,0.07286,-0.1455,-0.01468,0.13,0.07204,0.0645,-0.0469,-0.08067,0.05354,-0.09488,-0.01926,0.09496,0.23031,-0.25573,-0.06042,0.26252,0.19233,0.01036,0.03877,0.00336,-0.06941,-0.06058,0.02472,0.09829,0.03459,0.10309,-0.0863,-0.00855,-0.06298,0.02747
site-2_prs_pheno21,0.26423,-0.18192,-0.02216,0.05969,-0.04447,-0.03403,0.11769,0.11,-0.10502,-0.26687,-0.19515,-0.12528,0.01081,-0.07761,-0.00812,0.07157,0.27204,0.19305,1.10465,-0.13291,-0.12256,0.01029,-0.09641,0.06121,-0.01955,-0.19998,-0.04127,0.20158,-0.09058,0.14302,0.13686,0.0029,0.19729,-0.04868,-0.00271,0.23575,0.03557,0.10756,-0.1754,0.12262,0.15704,-0.11605,-0.05563,-0.00928,-0.02701,0.04563,0.17111,-0.10637,0.02344,-0.04132,0.06939,-0.19323,0.06366,-0.12925,-0.02808,-0.01453,0.02362,-0.17059,0.00041,0.07654,-0.07319,-0.18308,0.23138,0.10601,0.2573,0.02063,-0.02826,-0.01572,0.10209,0.07444,0.04145,0.22333,0.0645,0.02252,0.19497,0.02583,0.12972,-0.02839,-0.07588,-0.05999,0.12879,0.0233,-0.03039,-0.14754,-0.00617,-0.07888,-0.05202,0.04377,0.08301,-0.02304
site-2_prs_pheno22,-0.15311,-0.12897,0.07401,-0.08337,0.09463,0.05017,0.1016,0.00936,-0.22371,0.15077,0.00267,0.23119,-0.0678,0.00593,0.09886,0.00688,0.13069,-0.12905,0.01978,0.85208,0.00382,-0.0956,0.04483,0.01885,0.06663,0.00342,-0.556,0.05367,0.04569,0.01506,-0.08234,-0.01456,0.00831,-0.17518,0.03199,-0.13529,0.19899,0.04164,0.0797,-0.06062,0.05705,-0.13989,-0.10163,-0.11407,0.01759,-0.19375,0.18492,0.01651,0.16186,0.03003,0.06792,-0.12015,0.04704,-0.01274,0.19481,-0.14114,-0.03815,-0.02265,-0.00401,0.2013,-0.03738,0.17425,0.27824,-0.13995,-0.06791,0.02787,0.11051,-0.03862,-0.06229,0.04185,0.09427,-0.17515,-0.10899,0.19507,0.08471,-0.13813,-0.01193,0.03188,-0.08605,-0.0133,0.30604,-0.04359,-0.02562,-0.11315,-0.04148,-0.00856,0.05099,0.07792,0.11607,0.09817
site-2_prs_pheno23,-0.3999,-0.15526,0.02104,0.15128,0.04958,-0.06644,0.10594,-0.16408,0.06812,0.00205,0.01066,0.16807,-0.00335,0.07467,0.1332,-0.07786,-0.20375,0.1248,-0.12288,0.13299,1.02182,-0.06119,0.09632,0.06358,0.06915,0.17959,-0.28772,0.01761,-0.01845,-0.12853,0.00204,0.01957,-0.05162,-0.02407,-0.11982,-0.11317,0.0029,-0.16121,0.11366,0.01552,-0.00191,-0.03086,0.20344,0.08852,-0.03813,-0.05719,-0.08916,0.25715,0.09258,0.18798,-0.19443,0.12837,-0.00295,0.12633,-0.07313,-0.00737,0.12803,0.02189,-0.12073,0.00622,-0.08019,-0.0238,-0.06759,-0.05027,-0.14325,-0.02991,-0.05362,-0.06025,-0.04891,-0.06023,0.01979,-0.402,-0.26667,-0.01724,-0.02314,-0.02797,0.06367,0.04198,0.1388,0.07803,-0.2319,-0.0845,-0.02382,0.1795,0.05278,-0.05176,0.07716,0.08783,-0.04615,-0.09586
site-2_prs_pheno24,0.19513,-0.01345,0.05109,-0.06748,-0.09854,-0.11418,-0.03644,-0.1115,-0.05168,-0.0397,0.04467,-0.1055,-0.11563,-0.03412,-0.0555,0.00121,-0.03194,-0.14313,0.06796,-0.26369,-0.06027,1.18423,0.05129,-0.03518,0.10007,0.16952,0.08557,0.18826,0.07702,0.03283,-0.19113,0.06701,-0.02713,0.02044,0.07489,0.01918,-0.06249,0.19656,0.11609,0.07827,0.02289,-0.10595,-0.10617,0.01881,0.08481,0.07548,-0.04718,0.03331,0.02666,-0.21843,-0.04201,-0.08489,-0.07583,0.01199,0.00327,0.04184,-0.00263,0.03617,0.06837,0.03923,-0.06487,-0.15111,-0.00543,-0.17822,-0.33205,-0.1866,-0.07374,-0.03412,-0.03906,0.15322,0.13047,-0.11183,-0.08529,0.00675,-0.08091,-0.03918,-0.09187,0.00325,-0.00736,-0.13052,-0.11516,0.18555,-0.0151,-0.12868,-0.01126,-0.09944,-0.03526,0.06013,-0.13021,-0.08866
